version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:alarm;ns1:depth;ns1:divetime;ns1:tankpressure;ns1:temperature;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;idm1139766464;74;10.8.2024 10:41;12;mix21;15;19120000;6220000;;;;;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;1c6f1b25;74;10.8.2024 10:41;12;mix21;15;19120000;6220000;;;;;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;surface;1.31;0;19120000;295.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;3.61;20;19040000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;3.54;40;18970000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;3.83;60;18940000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;4.28;80;18920000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;4.72;100;18810000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;4.37;120;18790000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;5.32;140;18740000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;4.98;160;18710000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;4.88;180;;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;7.47;200;18580000;294.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;9.04;220;18530000;292.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;10.27;240;18280000;289.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;9.65;260;18100000;288.15;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;9.99;280;17940000;;19.72;9.195;3040;;8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1139766464;DiveBuddy;E;allbase;Subsurface Divebase;1c6f1b25;Taivassalo, Hilloinen;Taivassalo, Hilloinen;60.595354;21.507012;mix21;21/0;0.21;0;idm1146370384;idm1146370384;;;;;mix21;15;19120000;6220000;;9.95;300;17840000;;19.72;9.195;3040;;8;;
