version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;id8;ns1:name9;id10;ns1:name11;ns1:location;ns1:latitude;ns1:longitude;ns1:notes;id12;ns1:name13;ns1:o2;ns1:he;id14;id15;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref16;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ref17;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;idm163612832;85;13.9.2024 18:30;12;mix(21/0);15;19956000;10041000;;;;;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;1c6f1b2a;85;13.9.2024 18:30;12;mix(21/0);15;19956000;10041000;;;;;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;1.24;0;mix(21/0);19956000;291.15;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;1.72;20;;19862000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;1.72;40;;19767000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.04;60;;19678000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.37;80;;19615000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.39;100;;19566000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.41;120;;19529000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.62;140;;19463000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
