version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;idm1151699152;87;22.9.2024 15:22;8;mix21;15;20081000;9069000;;;;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;1c6f1b2b;87;22.9.2024 15:22;8;mix21;15;20081000;9069000;;;;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;1.21;0;20081000;289.15;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;1.22;1;;;surface;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;1.45;20;20029000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;2.43;40;19962000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;2.8;60;19847000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;3.54;80;19748000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;3.25;100;19696000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;3.59;120;19640000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
