version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;id8;ns1:name9;id10;ns1:name11;ns1:location;ns1:latitude;ns1:longitude;id12;ns1:name13;ns1:o2;ns1:he;id14;id15;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref16;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ref17;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;idp981981328;90;28.9.2024 11:45;7;mix(21/0);15;19812000;9152000;;;;;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;1c6f1b29;90;28.9.2024 11:45;7;mix(21/0);15;19812000;9152000;;;;;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.28;0;mix(21/0);19812000;288.15;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.34;20;;19753000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.22;31;;;;surface;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.13;40;;19702000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.34;60;;19625000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.57;80;;19547000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;1.96;100;;19504000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;3.11;120;;19430000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
